timestep,Lane_Number_Cars,congestion
4.0,36.0,0.0
5.0,60.166666666666664,5.648828610356268
6.0,72.36363636363636,4.817823045802507
7.0,75.11764705882354,3.4197373800735797
8.0,73.24797275381123,3.6619432659050646
9.0,69.27163725407414,5.076782500763633
10.0,70.85780851838369,6.270798384363134
11.0,71.31640773020084,6.770115699491605
12.0,72.07483466759484,7.3651362131412155
13.0,73.22823233428134,7.935826297322397
14.0,74.01579083613771,8.46812834609588
15.0,72.91918660287081,8.710136622522986
16.0,73.6078673245614,9.192849159037744
17.0,74.30947024833488,9.64609576182404
18.0,72.66044023863402,9.760330136210042
19.0,72.11486299474122,10.226905549354237
20.0,71.69363278713571,10.708548971624055
21.0,70.10929240640152,11.118811889806324
22.0,68.81881226458268,11.93265565073938
23.0,33.0989010989011,8.896007852750465
